GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model,com.epam.brest.model,Car,147,21,18,0,25,8,24,2,15,2
model,com.epam.brest.model,CarOrder,125,0,0,0,44,0,23,0,23,0
